#SampleID	ERR1414209	ERR1414210	ERR1414211	ERR1414212	ERR1414213	ERR1414214	ERR1414215	ERR1414216	ERR1414217	ERR1414218	ERR1414219	ERR1414220	ERR1414221	ERR1414222	ERR1414223	ERR1414224	ERR1414225	ERR1414226	ERR1414227	ERR1414228	ERR1414229	ERR1414230	ERR1414231	ERR1414232	ERR1414233	ERR1414234	ERR1414235	ERR1414236	ERR1414237	ERR1414238	ERR1414239	ERR1414240	ERR1414241	ERR1414242	ERR1414243	ERR1414244	ERR1414245	ERR1414246	ERR1414247	ERR1414248	ERR1414249	ERR1414250	ERR1414251	ERR1414252	ERR1414253	ERR1414254	ERR1414255	ERR1414256	ERR1414257	ERR1414258	ERR1414259	ERR1414260	ERR1414261	ERR1414262	ERR1414263	ERR1414264	ERR1414265	ERR1414266	ERR1414267	ERR1414268	ERR1414269	ERR1414270	ERR1414271	ERR1414272	ERR1414273	ERR1414274	ERR1414275	ERR1414276	ERR1414277	ERR1414278
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__thermautotrophicus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__WSA2;g__;s__	0	0	0	2	0	0	3	146	134	139	96	201	228	236	98	62	83	0	0	0	0	0	0	0	110	104	144	106	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	225	51	0	1	0	1	1	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__;g__;s__	2	0	0	0	0	0	0	52	48	53	57	58	117	119	109	103	88	0	0	0	1	4	2	1	465	479	680	607	0	1	0	0	1	2	0	0	14	28	0	0	0	0	0	2	0	1	34	29	0	0	0	0	0	0	0	0	0	0	0	149	72	0	1	3	0	3	8	13	12	26
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocalculus;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__	0	2	3	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	0	2	0	1	0	0	1
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__;s__	0	0	1	0	0	0	0	1	1	0	4	0	2	4	11	18	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__	0	1	1	0	0	0	0	23	37	33	72	22	8	22	143	125	52	0	0	0	0	0	0	0	8	10	23	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	19	110	0	1	0	0	0	0	1	1	1
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__bourgensis	0	0	0	0	0	0	0	0	0	0	1	0	2	0	7	2	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanofollis;s__	0	0	1	0	0	0	1	4	7	9	6	11	4	2	12	8	6	0	0	0	0	0	0	0	10	4	11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanogenium;s__	0	1	0	0	0	0	0	2	2	3	6	2	1	5	20	14	6	0	0	0	0	0	0	0	8	8	8	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0	0	0	1	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoplanus;s__	0	0	0	0	0	0	0	0	1	2	0	1	4	1	10	4	3	0	0	0	0	0	0	0	4	4	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__;s__	3	2	2	0	0	2	0	12	10	15	20	13	17	10	28	34	23	0	0	0	0	1	1	2	65	69	91	74	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	4	2	2	4	9	0	0	0	0	0	0	0	8	0	0	0	13	31	2	2	0	0	1	4	3	2	2
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__CandidatusMethanoregula;s__	10	2	7	0	0	0	0	3	4	1	4	2	0	1	6	5	3	1	0	0	0	0	1	0	11	17	24	14	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	1	3	4	0	4	2	2	0	6	2	3	2	1	1	3	1	1	1
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__	2	1	0	0	0	1	0	60	48	61	36	55	83	72	59	48	55	1	0	0	3	1	2	1	347	338	470	440	0	0	0	0	0	0	0	0	14	11	1	0	0	0	2	0	0	0	20	18	0	0	0	0	0	0	0	0	0	0	0	91	58	0	1	0	1	2	13	15	7	9
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__;s__	0	1	0	0	0	0	0	8	7	5	2	2	2	2	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__	10	4	8	3	5	1	6	130	147	132	94	121	78	96	95	79	70	2	0	0	1	0	2	1	113	118	148	150	0	0	0	0	2	2	1	6	3	5	0	3	3	5	4	5	2	4	9	4	0	0	0	0	0	11	1	1	11	9	7	90	56	0	1	2	9	6	8	10	3	8
