kingdom	phylum	SRR2107176	SRR2107177	SRR2107178	SRR2107179	SRR2107180	SRR2107181	SRR2107182	SRR2107183	SRR2107184	SRR2107185	SRR2107210	SRR2107211	SRR2107212	SRR2107213	SRR2107215	SRR2107216	SRR2107218	SRR2107219
Bacteria	Thermotogae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria	Verrucomicrobia	2	4	442	472	435	598	16	14	45	19	52	40	59	84	113	87	110	92
Bacteria	WPS-2	1	1	1	6	5	9	2	4	0	0	9	12	6	12	0	0	0	1
Bacteria	WS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria	WS3	0	3	0	0	0	0	0	0	0	0	6	7	5	4	0	0	0	0
Bacteria	WS5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	WS6	0	1	0	0	10	14	0	0	0	0	1	0	4	7	2	14	12	11
Bacteria	WWE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
Unassigned	Unassigned	583	681	1849	2214	2001	2793	2009	2243	2056	1020	1508	1699	1123	1610	1532	1532	2116	2062
