sample_id,dropped_analysis_id
SRS976606,SRR2107176
SRS976079,SRR2107213
SRS976068,SRR2107179
SRS976082,SRR2107211
SRS976081,SRR2107185
SRS976080,SRR2107215
SRS976605,SRR2107218
SRS976072,SRR2107180
SRS976078,SRR2107182
