OTU,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus
OTU92,Bacteria,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella
OTU93,Bacteria,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Siphonobacter
OTU94,Bacteria,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Sporocytophaga
OTU95,Bacteria,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter_Hymenobacteraceae
OTU96,Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Crocinitomix_Crocinitomicaceae
OTU97,Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Fluviicola_Crocinitomicaceae
OTU98,Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Cryomorpha
OTU99,Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Owenweeksia
OTU100,Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bergeyella
OTU101,Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
OTU102,Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium_Flavobacteriaceae
OTU103,Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cloacibacterium_Flavobacteriaceae
OTU104,Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Elizabethkingia_Flavobacteriaceae
OTU105,Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
OTU106,Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Formosa
OTU107,Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Moheibacter
OTU108,Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ulvibacter
OTU109,Bacteria,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Haliscomenobacteraceae,Haliscomenobacter_Haliscomenobacteraceae
OTU110,Bacteria,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Haliscomenobacteraceae,Phaeodactylibacter
OTU111,Bacteria,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Haliscomenobacteraceae,Portibacter_Haliscomenobacteraceae
OTU112,Bacteria,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Lewinellaceae,Lewinella_Lewinellaceae
OTU113,Bacteria,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Saprospiraceae,Rubidimonas
OTU114,Bacteria,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
OTU115,Bacteria,Bacteria,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum
OTU116,Bacteria,Bacteria,Calditrichaeota,,,,Calorithrix
OTU117,Bacteria,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Neochlamydia
OTU118,Bacteria,Bacteria,Chloroflexi,,,,Kouleothrix
OTU119,Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea_Anaerolineaceae
OTU120,Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Levilinea_Anaerolineaceae
OTU121,Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Longilinea_Anaerolineaceae
OTU122,Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Pelolinea
OTU123,Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermomarinilinea
OTU124,Bacteria,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Litorilinea
OTU125,Bacteria,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus
OTU126,Bacteria,Bacteria,Chloroflexi,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Nitrolancea
OTU127,Bacteria,Bacteria,Chloroflexi,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter
OTU128,Bacteria,Bacteria,Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Anabaena
OTU129,Bacteria,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera
OTU130,Bacteria,Bacteria,Elusimicrobia,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium
OTU131,Bacteria,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter
OTU132,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus
OTU133,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus
OTU134,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Jeotgalibaca
OTU135,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Lacticigenium_Carnobacteriaceae
OTU136,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_Enterococcaceae
OTU137,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
OTU138,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
OTU139,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
OTU140,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Caldicoprobacteraceae,Caldicoprobacter
OTU141,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Butyricicoccus_Clostridiaceae
OTU142,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Sarcina
OTU143,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XII._Incertae_Sedis,Fusibacter_Clostridiales_Family_XII._Incertae_Sedis
OTU144,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Anaerovorax_Clostridiales_Family_XIII._Incertae_Sedis
OTU145,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Gracilibacteraceae,Gracilibacter
OTU146,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Agathobacter
OTU147,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes
OTU148,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
OTU149,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea
OTU150,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Fusicatenibacter
OTU151,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hespellia
OTU152,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium
OTU153,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira
OTU154,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
