kingdom	phylum	ERR2985255	ERR2985256	ERR2985257	ERR2985258	ERR2985259	ERR2985260	ERR2985261	ERR2985262	ERR2985263	ERR2985264	ERR2985265	ERR2985266	ERR2985267	ERR2985268	ERR2985269	ERR2985270	ERR2985271	ERR2985272	ERR2985273	ERR2985274	ERR2985275	ERR2985276	ERR2985277	ERR2985278
Archaea	Candidatus_Diapherotrites	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Crenarchaeota	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Euryarchaeota	2	7	11	9	5	30	3	8	3	5	24	3	12	2	3	8	7	8	6	11	31	3	3	36
Archaea	Nanoarchaeota	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Archaea	Thaumarchaeota	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	44	13	3	6	0	4	6	10	17	1	5	20	2	49	5	1	5	1	0	2	9	6	5	9
Bacteria	Acidobacteria	41	21	8	13	12	9	14	33	25	13	7	32	61	47	31	8	16	14	8	69	4	23	32	5
Bacteria	Actinobacteria	339	723	140	268	244	307	578	767	496	233	301	552	600	382	164	131	242	179	170	741	722	600	199	781
Bacteria	Armatimonadetes	1	2	0	0	0	0	4	2	0	0	0	0	2	1	2	0	0	0	0	1	2	3	2	0
Bacteria	Bacteroidetes	777	1807	509	533	443	847	532	1897	428	409	794	445	808	833	524	471	524	1700	1592	980	923	554	579	1000
Bacteria	Caldiserica	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Calditrichaeota	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0
Bacteria	Candidatus_Abawacabacteria	22	0	0	0	0	0	1	0	9	0	0	10	1	17	0	0	1	0	0	3	0	0	6	0
Bacteria	Candidatus_Adlerbacteria	53	6	1	5	4	4	8	12	17	5	1	9	22	39	13	2	1	0	0	20	4	16	11	2
Bacteria	Candidatus_Amesbacteria	8	0	1	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	1	0
Bacteria	Candidatus_Azambacteria	46	7	3	5	3	0	4	14	17	2	0	29	6	55	7	0	4	1	2	11	3	4	12	6
