sample_id,dropped_analysis_id
ERS805487,ERR977408
ERS805496,ERR977411
ERS805496,ERR977412
ERS805497,ERR977415
ERS805497,ERR977414
ERS805498,ERR977417
ERS805498,ERR977419
ERS805499,ERR977421
ERS805499,ERR977422
