kingdom,phylum,ERZ795031
Archaea,Euryarchaeota,8
Bacteria,Acidobacteria,5
Bacteria,Actinobacteria,3
Bacteria,Bacteroidetes,30
Bacteria,Caldiserica,2
Bacteria,Calditrichaeota,2
Bacteria,Chloroflexi,9
Bacteria,Fibrobacteres,4
Bacteria,Firmicutes,20
Bacteria,Lentisphaerae,1
Bacteria,Nitrospirae,1
Bacteria,Planctomycetes,2
Bacteria,Proteobacteria,33
Bacteria,Spirochaetes,15
Bacteria,Synergistetes,2
Bacteria,Tenericutes,2
Bacteria,Thermotogae,6
Bacteria,Verrucomicrobia,12
Eukaryota,Cryptomycota,2
