#SampleID	ERR1857181	ERR1857182	ERR1857183	ERR1857184	ERR1857185	ERR1857186	ERR1857187	ERR1857188	ERR1857189	ERR1857190	ERR1857191	ERR1857192	ERR1857193	ERR1857194	ERR1857195	ERR1857196	ERR1857197	ERR1857198	ERR1857199	ERR1857200	ERR1857201	ERR1857202	ERR1857203	ERR1857204	ERR1857205	ERR1857206	ERR1857207	ERR1857208	ERR1857209	ERR1857210	ERR1857211	ERR1857212	ERR1857213	ERR1857214	ERR1857215	ERR1857216
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanosaeta;s__	0	0	0	0	0	0	0	0	0	7	5	4	5	12	13	9	29	17	4	14	1	1	1	1	11	9	2	0	0	0	1	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanimicrococcus;s__	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanimicrococcus;s__blatticola	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__YC-E6;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae];g__;s__	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae];g__vadinCA11;s__	1	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__WCHD3-30;f__;g__;s__	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__AD3;c__ABS-6;o__;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
