#SampleID	ERZ1714330	ERZ1714331	ERZ1714332	ERZ1714333	ERZ1714334	ERZ1714335	ERZ1714336	ERZ1714337	ERZ1714338	ERZ1714329	ERZ1714339
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	2	5	0	7	0	3	0	0	0	0	1
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Chryseobacterium	0	0	0	0	0	0	0	0	0	5	0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Elizabethkingia	0	0	0	0	0	0	0	0	0	5	0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	0	2	3	0	1	3	0	4	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Saprospiria;o__Saprospirales	1	0	0	1	3	0	1	0	0	0	4
sk__Bacteria;k__;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Haliscomenobacteraceae	0	0	0	0	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae	1	0	1	0	2	1	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	0	0	0	0	2	0	0	0	0	0	0
sk__Bacteria;k__;p__Candidatus_Campbellbacteria	0	0	1	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Candidatus_Gracilibacteria	0	0	0	0	0	0	0	1	0	0	0
sk__Bacteria;k__;p__Candidatus_Kaiserbacteria	0	0	4	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Candidatus_Magasanikbacteria	0	0	1	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Candidatus_Moranbacteria	0	0	2	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Candidatus_Nomurabacteria	0	0	1	0	0	1	0	2	0	0	0
sk__Bacteria;k__;p__Candidatus_Pacebacteria	0	0	1	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Candidatus_Peregrinibacteria	0	0	1	0	0	0	0	0	0	0	0
