kingdom,phylum,ERZ795044
Archaea,Euryarchaeota,6
Bacteria,Acidobacteria,5
Bacteria,Actinobacteria,5
Bacteria,Bacteroidetes,28
Bacteria,Caldiserica,2
Bacteria,Chloroflexi,8
Bacteria,Elusimicrobia,2
Bacteria,Fibrobacteres,2
Bacteria,Firmicutes,10
Bacteria,Ignavibacteriae,1
Bacteria,Kiritimatiellaeota,1
Bacteria,Lentisphaerae,1
Bacteria,Nitrospirae,1
Bacteria,Planctomycetes,3
Bacteria,Proteobacteria,39
Bacteria,Spirochaetes,15
Bacteria,Synergistetes,1
Bacteria,Tenericutes,3
Bacteria,Thermotogae,4
Bacteria,Verrucomicrobia,10
Eukaryota,Cryptomycota,2
