kingdom,phylum,ERZ761562
Archaea,Euryarchaeota,6
Bacteria,Acidobacteria,5
Bacteria,Actinobacteria,8
Bacteria,Bacteroidetes,30
Bacteria,Caldiserica,5
Bacteria,Chloroflexi,19
Bacteria,Fibrobacteres,2
Bacteria,Firmicutes,17
Bacteria,Fusobacteria,1
Bacteria,Kiritimatiellaeota,1
Bacteria,Planctomycetes,2
Bacteria,Proteobacteria,28
Bacteria,Spirochaetes,14
Bacteria,Synergistetes,1
Bacteria,Tenericutes,2
Bacteria,Thermotogae,7
Bacteria,Verrucomicrobia,6
