superkingdom,kingdom,phylum,ERZ3455898,ERZ3455866,ERZ3455897,ERZ3455890,ERZ3455808,ERZ3455893,ERZ3455883,ERZ3455869,ERZ3455840,ERZ3455833,ERZ3455829,ERZ3455804,ERZ3455878,ERZ3455853,ERZ3455848,ERZ3455819,ERZ3455793,ERZ3455879,ERZ3455899,ERZ3455856,ERZ3455846,ERZ3455895,ERZ3455894,ERZ3455886,ERZ3455864,ERZ3455861,ERZ3455828,ERZ3455820,ERZ3455900,ERZ3455889,ERZ3455875,ERZ3455874,ERZ3455841,ERZ3455792,ERZ3455885,ERZ3455847,ERZ3455896,ERZ3455891,ERZ3455881,ERZ3455873,ERZ3455860,ERZ3455844,ERZ3455838,ERZ3455870,ERZ3455852,ERZ3455813,ERZ3455801,ERZ3455791,ERZ3455858,ERZ3455887,ERZ3455882,ERZ3455877,ERZ3455871,ERZ3455865,ERZ3455857,ERZ3455850,ERZ3455845,ERZ3455835,ERZ3455799,ERZ3455892,ERZ3455836,ERZ3455823,ERZ3455807,ERZ3455880,ERZ3455872,ERZ3455868,ERZ3455851,ERZ3455843,ERZ3455812,ERZ3455888,ERZ3455876,ERZ3455862,ERZ3455825,ERZ3455815,ERZ3455797,ERZ3455884,ERZ3455859,ERZ3455831,ERZ3455809,ERZ3455803,ERZ3455867,ERZ3455863,ERZ3455855,ERZ3455849,ERZ3455839,ERZ3455832,ERZ3455824,ERZ3455817,ERZ3455816,ERZ3455800,ERZ3455796,ERZ3455842,ERZ3455837,ERZ3455834,ERZ3455830,ERZ3455827,ERZ3455821,ERZ3455811,ERZ3455810,ERZ3455806,ERZ3455805,ERZ3455795,ERZ3455854,ERZ3455826,ERZ3455822,ERZ3455814,ERZ3455802,ERZ3455798,ERZ3455794,ERZ3455818
Archaea,Unassigned,Euryarchaeota,4,1,1,2,1,1,3,2,0,0,4,1,0,3,1,1,0,0,6,2,3,3,1,2,0,5,2,1,3,1,0,1,1,0,3,2,1,1,2,3,0,3,1,1,3,0,0,0,1,0,1,2,0,0,0,2,6,5,1,1,1,2,1,1,4,2,1,2,1,0,1,0,0,2,1,0,2,3,0,1,2,0,0,3,2,4,1,1,0,0,0,1,1,4,2,1,2,1,1,2,0,0,1,0,0,4,1,3,0,0
Bacteria,Unassigned,Acidobacteria,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,1,3,0,0,1,0,13,0,0,7,0,0,0,0,0,3,1,0,0,1,6,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
Bacteria,Unassigned,Actinobacteria,13,21,11,11,11,14,6,4,2,3,11,0,2,10,4,4,2,0,18,16,19,9,13,10,6,6,6,3,18,3,1,5,6,0,16,22,6,5,7,9,0,13,4,3,7,0,4,0,13,8,4,10,1,0,6,12,9,12,11,2,4,5,14,4,12,8,8,4,1,7,1,0,2,6,8,0,15,7,4,9,0,0,4,10,5,11,8,0,15,7,3,12,3,13,9,4,4,4,6,17,0,0,10,1,4,3,4,8,0,0
Bacteria,Unassigned,Armatimonadetes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Unassigned,Bacteroidetes,11,33,19,14,16,24,4,13,2,8,24,2,7,22,11,21,3,2,8,21,11,19,18,9,17,79,11,10,46,12,7,13,5,3,37,18,15,11,5,20,6,10,15,8,8,2,9,1,19,12,14,14,15,12,33,11,11,28,6,9,7,8,12,4,19,4,6,15,3,12,10,2,6,5,4,5,10,11,22,15,6,12,6,11,14,5,5,5,19,6,6,18,13,6,13,10,6,4,13,10,13,16,12,10,5,16,11,5,5,4
Bacteria,Unassigned,Balneolaeota,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bacteria,Unassigned,Caldiserica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bacteria,Unassigned,Chlamydiae,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Unassigned,Chloroflexi,1,1,0,2,0,1,0,1,0,0,2,0,0,1,1,0,0,0,6,1,4,0,0,1,0,8,0,0,4,0,0,0,0,0,0,2,1,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,6,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0
Bacteria,Unassigned,Coprothermobacterota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
