Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,ERR2088984,ERR2088985,ERR2088986,ERR2088987,ERR2088988,ERR2088989,ERR2088990,ERR2088991,ERR2088992,ERR2088993,ERR2088994,ERR2088995
Bacteria,,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Flaviflexus,Flaviflexus_huanghaiensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,Varibaculum_sp._Marseille-P2802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_bifidumBifidobacterium_pseudocatenulatum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bombiscardovia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,,Lawsonella,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,,Tomitella,Tomitella_cavernea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_atypicumCorynebacterium_aurimucosumCorynebacterium_doosanenseCorynebacterium_faecaleCorynebacterium_flavescensCorynebacterium_genitaliumCorynebacterium_glaucumCorynebacterium_sp.Corynebacterium_sp._ATCC_43833Corynebacterium_terpenotabidumCorynebacterium_testudinorisCorynebacterium_xerosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia_araiiGordonia_bronchialisGordonia_defluviiGordonia_rhizospheraGordonia_sinesedisGordonia_sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Millisia,Millisia_brevis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Skermania,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium_abscessusMycobacterium_bovisMycobacterium_kumamotonenseMycobacterium_tuberculosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_sp._BFXJ-2Rhodococcus_sp._MN8-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Smaragdicoccus,Smaragdicoccus_niigatensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Tsukamurellaceae,Tsukamurella,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Williamsiaceae,Williamsia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Frankiales,,Antricoccus,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Frankiales,Cryptosporangiaceae,Cryptosporangium,Cryptosporangium_sp._HBUM_171259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Frankiales,Cryptosporangiaceae,Fodinicola,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Sporichthya,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Modestobacter,Modestobacter_marinus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Glycomycetales,Glycomycetaceae,Glycomyces,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Angustibacter,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineococcus,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineosporia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Quadrisphaera,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,,Timonella,Timonella_senegalensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Beutenbergiaceae,Miniimonas,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Beutenbergiaceae,Salana,Salana_multivorans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Beutenbergiaceae,Serinibacter,Serinibacter_sp._K3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Bogoriellaceae,Georgenia,Georgenia_sp._CC-AMFL-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium_pityocampaeBrevibacterium_ravenspurgense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Actinotalea,Actinotalea_fermentans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Pseudactinotalea,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Demequinaceae,Demequina,Demequina_sp._EGI_80499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
