assembly_run_ids,study_id,Euryarchaeota,Acidobacteria,Armatimonadetes,Bacteroidetes,Caldiserica,Chloroflexi,Elusimicrobia,Firmicutes,Gemmatimonadetes,Ignavibacteriae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thermotogae,Verrucomicrobia,Actinobacteria,Chlamydiae,Cyanobacteria,Fusobacteria,Cryptomycota,Nematoda,Calditrichaeota,Crenarchaeota,Parvarchaeota,Caldithrix,Chlorobi,Deferribacteres,Fibrobacteres,Lentisphaerae,Nitrospirae,Thermi,Aquificae
ERR1352946,MGYS00000777,25,16,5,1398,1,266,1,6607,1,0,15,287811,5,5,9,0,60,899,0,281,33,0,0,0,2,0,1,8,0,23,0,10,32,0
ERR1352912,MGYS00000777,58,129,27,1476,0,283,5,8107,24,0,89,522733,1350,2,12,0,189,15438,11,238,66,0,0,0,3,0,1,39,0,6,0,171,80,0
ERR1352913,MGYS00000777,3,94,5,1011,0,93,2,514,16,0,77,4140,365,2,3,1,81,564,13,93,8,0,0,0,1,0,3,57,0,0,0,31,1,0
ERR1352928,MGYS00000777,42,90,10,591,0,424,2,6053,4,0,179,335831,143,1,3,0,60,1725,5,193,44,0,0,0,1,0,0,45,0,6,0,120,5,0
ERR1352929,MGYS00000777,3,25,0,2062,0,82,0,412,18,0,63,5401,122,1,4,0,85,745,3,22,14,0,0,0,0,0,4,20,0,0,0,0,1,0
ERR1352947,MGYS00000777,5,135,15,1262,1,211,0,304,3,0,149,6847,560,0,4,1,160,1048,23,140,18,0,0,0,0,0,0,24,0,0,0,40,0,0
ERR1352950,MGYS00000777,23,95,6,658,0,139,0,8095,12,0,110,478985,1138,0,8,0,49,3015,13,196,26,0,0,0,0,0,7,33,0,8,1,152,67,0
ERR1352916,MGYS00000777,73,5,182,926,0,111,0,2622,0,0,69,336369,12,8,8,0,12,848,0,8,25,0,0,0,0,0,0,103,1,1,0,2,148,0
ERR1352918,MGYS00000777,20,944,115,2045,1,182,2,11655,8,0,319,536162,73,0,10,0,400,1960,20,441,18,0,0,0,0,0,3,706,0,6,0,26,13,0
ERR1352920,MGYS00000777,840,320,32,1455,0,802,1,3332,48,0,421,384516,1373,2,4,2,118,1813,7,320,12,0,0,0,6,12,9,29,0,2,0,436,16,0
ERR1352921,MGYS00000777,1,260,32,1983,0,215,3,540,75,0,479,8999,243,0,10,0,177,905,23,61,29,0,0,0,0,1,1,104,0,0,0,80,1,0
ERR1352924,MGYS00000777,167,229,26,1618,3,338,8,14197,43,0,222,1074207,65,4,20,0,130,2674,15,109,39,0,0,0,0,0,9,74,0,8,0,505,28,0
ERR1352925,MGYS00000777,3,133,8,1449,0,457,12,279,15,0,171,4260,277,0,5,0,151,1190,10,389,42,0,0,0,0,1,0,178,0,1,0,10,0,0
