assembly_run_ids,study_id,Euryarchaeota,Acidobacteria,Actinobacteria,Armatimonadetes,Bacteroidetes,Balneolaeota,Caldiserica,Chlamydiae,Chloroflexi,Coprothermobacterota,Cyanobacteria,Deferribacteres,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Verrucomicrobia,Ascomycota,Basidiomycota,Cryptomycota,Arthropoda,Chordata,Gastrotricha,Mollusca,Nematoda,Rotifera,Apicomplexa,Cercozoa,Ciliophora,Discosea,Endomyxa,Euglenozoa,Evosea,Fornicata,Haptista,Preaxostyla,Rhodophyta,Tubulinea,Chlorophyta,Streptophyta,Crenarchaeota,Parvarchaeota,Aquificae,Caldithrix,Chlorobi,Chrysiogenetes,Dictyoglomi,Thermi,Thermotogae,Calditrichaeota,Annelida,Bacillariophyta,Chytridiomycota,Cnidaria,Euglenida,Microsporidia,Mucoromycota,Phaeophyceae,Platyhelminthes,Porifera,Tardigrada,Zoopagomycota
ERZ3455834,MGYS00005846,4,2,13,0,6,1,0,0,5,0,0,0,0,0,43,2,0,1,0,0,0,3,62,0,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455837,MGYS00005846,1,0,3,0,13,0,0,0,0,0,0,0,0,0,22,2,0,1,0,0,0,0,25,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455842,MGYS00005846,1,0,12,0,18,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,24,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455796,MGYS00005846,0,0,3,0,6,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,30,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455800,MGYS00005846,0,0,7,0,6,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,39,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455816,MGYS00005846,0,0,15,0,19,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,51,1,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455817,MGYS00005846,1,0,0,0,5,0,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,0,11,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455824,MGYS00005846,1,0,8,0,5,0,0,0,1,0,0,0,0,0,21,1,0,0,3,0,0,0,28,0,0,1,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455832,MGYS00005846,4,2,11,0,5,0,0,0,1,0,0,0,0,0,37,1,1,1,0,0,0,1,51,0,2,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455839,MGYS00005846,2,0,5,0,14,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,35,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
