,study_id,Crenarchaeota,Euryarchaeota,Thaumarchaeota,Acidobacteria,Actinobacteria,Armatimonadetes,Bacteroidetes,Caldiserica,Calditrichaeota,Chlamydiae,Chlorobi,Chloroflexi,Cyanobacteria,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Nitrospinae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thermotogae,Verrucomicrobia,Annelida,Apicomplexa,Arthropoda,Ascomycota,Bacillariophyta,Basidiomycota,Blastocladiomycota,Chlorophyta,Chordata,Chytridiomycota,Cnidaria,Colponemidia,Cryptomycota,Euglenida,Mollusca,Mucoromycota,Nematoda,Phaeophyceae,Platyhelminthes,Porifera,Rotifera,Streptophyta,Tardigrada,Xenacoelomorpha,Aquificae,Balneolaeota,Chrysiogenetes,Deferribacteres,Lentisphaerae,Thermodesulfobacteria,Brachiopoda,Echinodermata,Haplosporidia,Picozoa,Zoopagomycota,Nanoarchaeota,Dictyoglomi,Thermi,Parvarchaeota,Caldithrix,Poribacteria
ERR1356713,MGYS00000823,0,3,0,226,3278,71,796,0,0,2,34,117,74,1,11,14511,15,4,0,0,0,23,138,385169,13,0,10,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0
ERR1356717,MGYS00000823,2,63,0,92,866,26,626,0,0,2,11,258,27,0,3,1730,13,14,0,0,0,121,100,372276,158,0,5,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,8,0,0
ERR1356752,MGYS00000823,1,20,0,113,299,8,1363,0,0,10,27,201,41,2,1,335,0,39,0,0,0,45,151,3849,98,4,3,4,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ERR1356715,MGYS00000823,0,259,0,49,805,12,626,0,0,9,96,104,16,0,2,3575,2,54,0,0,0,5,259,194531,6,1,14,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0
ERR1356718,MGYS00000823,0,8,0,315,830,48,2770,1,0,7,69,176,31,2,0,686,26,135,0,0,0,107,781,7821,155,0,11,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,2,0
ERR1356720,MGYS00000823,0,16,0,138,309,5,1096,3,0,17,15,136,22,10,3,285,13,79,0,0,0,147,201,3768,19,4,2,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ERR1356722,MGYS00000823,0,2,0,217,1309,10,2047,0,0,11,235,869,55,11,2,357,27,19,0,0,0,26,243,5604,51,0,2,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0
ERR1356724,MGYS00000823,0,1,0,264,433,10,1031,0,0,1,116,408,38,23,2,184,6,60,0,0,0,86,141,3300,26,0,6,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ERR1356728,MGYS00000823,0,20,0,335,995,14,2874,2,0,49,112,194,94,2,6,1098,5,183,0,0,0,82,672,9123,446,3,17,2,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0
ERR1356727,MGYS00000823,0,47,0,144,849,3,1885,0,0,1,14,63,27,0,18,40696,17,32,0,0,0,11,67,245440,42,2,11,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,2,0
