kingdom,phylum,ERZ746980
Archaea,Euryarchaeota,5
Bacteria,Acidobacteria,3
Bacteria,Actinobacteria,25
Bacteria,Armatimonadetes,2
Bacteria,Bacteroidetes,10
Bacteria,Chloroflexi,1
Bacteria,Dictyoglomi,1
Bacteria,Firmicutes,78
Bacteria,Fusobacteria,1
Bacteria,Ignavibacteriae,2
Bacteria,Nitrospirae,1
Bacteria,Planctomycetes,5
Bacteria,Proteobacteria,21
Bacteria,Spirochaetes,1
Bacteria,Synergistetes,2
Bacteria,Tenericutes,4
Bacteria,Thermotogae,5
Bacteria,Verrucomicrobia,1
Eukaryota,Arthropoda,2
Eukaryota,Nematoda,1
