kingdom,phylum,ERR1356692,ERR1356693,ERR1356694,ERR1356695,ERR1356696,ERR1356697,ERR1356698,ERR1356699,ERR1356700,ERR1356701,ERR1356702,ERR1356703,ERR1356704,ERR1356705,ERR1356706,ERR1356707,ERR1356708,ERR1356709,ERR1356710,ERR1356711,ERR1356712,ERR1356713,ERR1356714,ERR1356715,ERR1356716,ERR1356717,ERR1356718,ERR1356719,ERR1356720,ERR1356721,ERR1356722,ERR1356723,ERR1356724,ERR1356725,ERR1356726,ERR1356727,ERR1356728,ERR1356729,ERR1356730,ERR1356731,ERR1356732,ERR1356733,ERR1356734,ERR1356735,ERR1356736,ERR1356737,ERR1356738,ERR1356739,ERR1356740,ERR1356741,ERR1356742,ERR1356743,ERR1356744,ERR1356745,ERR1356746,ERR1356747,ERR1356748,ERR1356749,ERR1356750,ERR1356751,ERR1356752,ERR1356753,ERR1356754,ERR1356755,ERR1356756,ERR1356757,ERR1356758,ERR1356759,ERR1356760,ERR1356761,ERR1356762,ERR1356763
Archaea,Crenarchaeota,0,33,0,3,0,8,0,30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,12,29,0,2,0,0,0,0
Archaea,Euryarchaeota,2,2254,18,320,0,822,1,2033,4,73,12,47,3,72,3,16,8,141,2,98,0,3,25,259,5,63,8,2,16,166,2,11,1,30,2,47,20,51,0,93,14,105,15,75,1,36,0,28,19,666,6,37,3,13,17,33,7,30,9,225,20,120,0,33,549,1865,10,127,0,7,8,116
Archaea,Parvarchaeota,0,18,1,30,1,24,0,7,1,1,11,3,4,8,1,1,0,4,0,0,0,0,0,0,2,8,6,1,2,22,4,1,3,5,0,0,3,6,0,0,1,4,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,5,0,10,2,3,0,1,1,2,0,3,0,0,1,9
Bacteria,Acidobacteria,61,1558,127,478,159,519,89,1159,99,60,168,144,103,237,195,87,142,53,8,13,150,226,83,49,162,92,315,71,138,303,217,102,264,275,13,144,335,38,162,141,111,2079,55,34,191,176,125,148,120,216,56,245,9,50,154,374,157,180,124,152,113,43,93,532,111,321,62,806,5,51,64,211
Bacteria,Actinobacteria,761,8851,1173,3061,519,2915,688,5044,332,1304,1000,1109,446,1061,349,625,595,1341,97,552,296,3278,386,805,483,866,830,382,309,770,1309,881,433,713,469,849,995,465,835,1124,503,3297,882,727,408,754,347,625,751,885,462,1125,341,571,1159,900,395,406,549,524,299,357,443,1285,541,1407,443,2684,494,973,405,720
Bacteria,Armatimonadetes,6,172,6,36,9,50,1,126,5,3,5,5,11,56,12,7,5,9,73,314,41,71,42,12,14,26,48,8,5,19,10,3,10,59,0,3,14,2,6,7,35,40,9,3,28,32,12,13,20,28,3,12,4,9,10,22,7,16,9,26,8,6,5,59,34,89,4,34,5,13,6,22
Bacteria,Bacteroidetes,962,11720,3509,3124,1208,3193,895,6966,1297,567,3379,809,1262,1890,870,417,1445,414,1835,1285,1257,796,1025,626,1068,626,2770,513,1096,1163,2047,1082,1031,1112,1325,1885,2874,404,1173,896,768,1128,1541,686,1234,1086,1232,1196,1389,1256,797,1233,1866,1972,3046,2560,1031,840,1583,911,1363,493,1345,3415,1349,2187,1266,4369,3829,1900,1514,1870
Bacteria,Caldiserica,0,192,0,2,0,8,0,192,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,6,8,0,0,0,0,4,1,0,0,0,0,0,0,2,0,75,194,0,3,0,0,0,0
Bacteria,Caldithrix,0,21,0,5,1,5,1,15,0,1,0,0,1,4,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,2,1,3,0,4,0,0,1,1,0,2,0,0,1,1,0,2,0,0,1,8,1,0,1,1,0,0,0,9,18,11,0,5,0,0,0,4
Bacteria,Chlamydiae,3,22,11,16,5,4,0,14,8,4,21,5,5,6,6,1,6,0,0,0,4,2,9,9,11,2,7,3,17,9,11,5,1,5,0,1,49,6,8,3,4,6,2,1,5,1,0,2,3,2,31,9,0,0,10,4,11,3,0,1,10,2,9,8,8,4,3,10,0,0,2,4
Bacteria,Chlorobi,16,276,25,46,84,103,135,187,37,13,52,10,25,50,29,14,55,24,1287,711,56,34,145,96,26,11,69,5,15,31,235,107,116,116,5,14,112,17,44,35,34,47,40,18,24,21,11,7,33,44,90,178,9,8,20,23,33,21,18,29,27,10,14,59,19,35,22,98,0,6,39,61
Bacteria,Chloroflexi,94,6259,557,597,527,839,779,5156,202,148,657,134,201,517,372,221,184,67,366,557,130,117,118,104,398,258,176,40,136,199,869,395,408,950,35,63,194,45,55,91,101,319,62,66,278,308,207,228,166,314,65,322,18,69,474,496,205,296,269,389,201,80,300,1010,1500,2522,255,2220,20,44,292,827
Bacteria,Cyanobacteria,39,432,38,122,64,170,34,313,19,14,69,1607,17,64,30,31,10,22,5,18,17,74,9,16,35,27,31,8,22,84,55,25,38,94,2,27,94,38,58,76,20,61,4,13,28,20,2,29,47,82,15,79,7,32,32,71,27,50,35,34,41,11,21,129,6,62,28,217,3,20,14,69
