kingdom,phylum,ERZ795389
Archaea,Crenarchaeota,1
Archaea,Euryarchaeota,5
Bacteria,Acidobacteria,14
Bacteria,Actinobacteria,4
Bacteria,Bacteroidetes,32
Bacteria,Caldiserica,4
Bacteria,Chloroflexi,10
Bacteria,Fibrobacteres,1
Bacteria,Firmicutes,15
Bacteria,Ignavibacteriae,2
Bacteria,Kiritimatiellaeota,3
Bacteria,Lentisphaerae,3
Bacteria,Planctomycetes,4
Bacteria,Proteobacteria,45
Bacteria,Spirochaetes,15
Bacteria,Synergistetes,5
Bacteria,Tenericutes,2
Bacteria,Thermotogae,4
Bacteria,Verrucomicrobia,8
