sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material
ERS1215575,DTU2016-1135-PRJ1066-RL-Sewage-63_S3_L001,SAMEA4044465,Danish sewage,55.695,12.615,Denmark,,,
ERS1215578,DTU2016-1138-PRJ1066-RD-Sewage-72_S6_L001,SAMEA4044468,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1215586,DTU2016-1146-PRJ1066-RL-Sewage-80_S14_L001,SAMEA4044476,Danish sewage,55.695,12.615,Denmark,,,
ERS1217118,DTU2016-1166-PRJ1066-RD-Sewage-69_S8_L001,SAMEA4046008,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1230337,DTU2016-1169-PRJ1066-RL-Sewage-82_S11_L001,SAMEA4059227,Danish sewage,55.695,12.615,Denmark,,,
ERS1230347,DTU2016-1492-PRJ1066-RL-Sewage-55_S5_L001,SAMEA4059237,Danish sewage,55.695,12.615,Denmark,,,
ERS1230365,DTU2016-1536-PRJ1066-RL-Sewage-90_S3_L001,SAMEA4059255,Danish sewage,55.695,12.615,Denmark,,,
ERS1230366,DTU2016-1537-PRJ1066-RD-Sewage-91_S4_L001,SAMEA4059256,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1230367,DTU2016-1538-PRJ1066-RL-Sewage-92_S5_L001,SAMEA4059257,Danish sewage,55.695,12.615,Denmark,,,
ERS1243510,DTU2016-1601-PRJ1066-RD-Sewage-97_S1,SAMEA4072400,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1243512,DTU2016-1605-PRJ1066-RD-Sewage-101_S5,SAMEA4072402,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1243515,DTU2016-1610-PRJ1066-RA-Sewage-105_S9,SAMEA4072405,Danish sewage,55.6085,12.4505,Denmark,,,
ERS1243522,DTU2016-1617-PRJ1066-RL-Sewage-49_S16,SAMEA4072412,Danish sewage,55.695,12.615,Denmark,,,
ERS1215584,DTU2016-1144-PRJ1066-RL-Sewage-78_S12_L001,SAMEA4044474,Danish sewage,55.695,12.615,Denmark,,,
ERS1217114,DTU2016-1162-PRJ1066-RL-Sewage-60_S4_L001,SAMEA4046004,Danish sewage,55.695,12.615,Denmark,,,
ERS1217116,DTU2016-1164-PRJ1066-RD-Sewage-67_S6_L001,SAMEA4046006,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1217119,DTU2016-1167-PRJ1066-RD-Sewage-70_S9_L001,SAMEA4046009,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1230340,DTU2016-1173-PRJ1066-RA-Sewage-86_S15_L001,SAMEA4059230,Danish sewage,55.6085,12.4505,Denmark,,,
ERS1230345,DTU2016-1490-PRJ1066-RA-Sewage-52_S3_L001,SAMEA4059235,Danish sewage,55.6085,12.4505,Denmark,,,
ERS1234045,DTU2016-1571-PRJ1066-RD-Sewage-96_S12_L001,SAMEA4062935,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1243513,DTU2016-1606-PRJ1066-RL-Sewage-102_S6,SAMEA4072403,Danish sewage,55.695,12.615,Denmark,,,
ERS1243514,DTU2016-1609-PRJ1066-RD-Sewage-104_S8,SAMEA4072404,Danish sewage,55.6405,12.5058,Denmark,,,
