#SampleID	ERZ782915	ERZ782916	ERZ782923	ERZ782924	ERZ782925	ERZ782926	ERZ782927	ERZ782928	ERZ782929	ERZ782930
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae	1.0	0	0	0	1.0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	0	0	1.0	0	1.0	1.0	0	1.0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0	1.0	2.0	1.0	1.0	1.0	1.0	0	1.0	1.0
sk__Bacteria;k__;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;s__Mycoplasma_hyorhinis	0	0	0	0	1.0	0	1.0	0	1.0	0
sk__Chloroplast	0	0	0	2.0	0	0	0	1.0	0	1.0
sk__Eukaryota	2.0	2.0	8.0	9.0	7.0	8.0	11.0	8.0	9.0	9.0
sk__Eukaryota;k__;p__;c__;o__;f__Echinamoebidae	0	0	1.0	0	0	0	1.0	0	1.0	0
sk__Eukaryota;k__;p__;c__;o__;f__Jakobidae;g__Jakoba	1.0	2.0	0	1.0	0	1.0	1.0	1.0	0	1.0
sk__Eukaryota;k__;p__;c__;o__;f__Jakobidae;g__Jakoba;s__Jakoba_libera	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0
sk__Eukaryota;k__;p__;c__;o__Arcellinida	0	0	0	1.0	2.0	1.0	0	2.0	0	1.0
sk__Eukaryota;k__;p__;c__;o__Cercomonadida;f__Heteromitidae;g__Heteromita	0	0	1.0	0	0	0	0	1.0	1.0	0
sk__Eukaryota;k__;p__;c__;o__Glissomonadida;f__;g__Sandona	1.0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__;p__;c__;o__Glissomonadida;f__Sandonidae;g__Bodomorpha;s__Bodomorpha_sp._HFCC_927	0	1.0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__;p__;c__Colpodea	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
sk__Eukaryota;k__;p__;c__Dinophyceae	0	0	0	0	1.0	0	0	0	0	0
sk__Eukaryota;k__;p__;c__Heterolobosea;o__Schizopyrenida;f__Vahlkampfiidae;g__Allovahlkampfia;s__Allovahlkampfia_sp._PKD_2011a	0	0	1.0	1.0	1.0	0	0	1.0	0	1.0
sk__Eukaryota;k__;p__;c__Heterolobosea;o__Schizopyrenida;f__Vahlkampfiidae;g__Vahlkampfia;s__Vahlkampfia_avara	0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
sk__Eukaryota;k__;p__;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Plasmopara	0	0	0	0	0	1.0	0	0	0	0
sk__Eukaryota;k__;p__;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Plasmopara;s__Plasmopara_viticola	0	0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0
sk__Eukaryota;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	0	0	0	0	0	0	1.0	0	0	0
sk__Eukaryota;k__Metazoa	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0
sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia	0	0	0	0	1.0	0	0	0	1.0	0
sk__Mitochondria	2.0	4.0	5.0	4.0	4.0	2.0	3.0	2.0	4.0	3.0
