OTU,phylum,ERZ1764620,ERZ1764613,ERZ1764614,ERZ1764618,ERZ1764622,ERZ1764624,ERZ3455818,ERZ3455794,ERZ3455798,ERZ3455802,ERZ3455814,ERZ3455822,ERZ3455826,ERZ3455854,ERZ3455795,ERZ3455805,ERZ3455806,ERZ3455810,ERZ3455811,ERZ3455821,ERZ3455827,ERZ3455830,ERZ3455834,ERZ3455837,ERZ3455842,ERZ3455796,ERZ3455800,ERZ3455816,ERZ3455817,ERZ3455824,ERZ3455832,ERZ3455839,ERZ3455849,ERZ3455855,ERZ3455863,ERZ3455867,ERZ3455803,ERZ3455809,ERZ3455831,ERZ3455859,ERZ3455884,ERZ3455797,ERZ3455815,ERZ3455825,ERZ3455862,ERZ3455876,ERZ3455888,ERZ3455812,ERZ3455843,ERZ3455851,ERZ3455868,ERZ3455872,ERZ3455880,ERZ3455807,ERZ3455823,ERZ3455836,ERZ3455892,ERZ3455799,ERZ3455835,ERZ3455845,ERZ3455850,ERZ3455857,ERZ3455865,ERZ3455871,ERZ3455877,ERZ3455882,ERZ3455887,ERZ3455858,ERZ3455791,ERZ3455801,ERZ3455813,ERZ3455852,ERZ3455870,ERZ3455838,ERZ3455844,ERZ3455860,ERZ3455873,ERZ3455881,ERZ3455891,ERZ3455896,ERZ3455847,ERZ3455885,ERZ3455792,ERZ3455841,ERZ3455874,ERZ3455875,ERZ3455889,ERZ3455900,ERZ3455820,ERZ3455828,ERZ3455861,ERZ3455864,ERZ3455886,ERZ3455894,ERZ3455895,ERZ3455846,ERZ3455856,ERZ3455899,ERZ3455879,ERZ3455793,ERZ3455819,ERZ3455848,ERZ3455853,ERZ3455878,ERZ3455804,ERZ3455829,ERZ3455833,ERZ3455840,ERZ3455869,ERZ3455883,ERZ3455893,ERZ3455808,ERZ3455890,ERZ3455897,ERZ3455866,ERZ3455898,OFEK01,ERZ764804,ERZ724020,ERZ778036,ERZ778037,ERZ778038,ERZ795029,ERZ795030,ERZ795049,ERZ795053,ERZ795056,ERZ795058,ERZ795059,ERZ795060,ERZ795066,ERZ795067,ERZ795076,ERZ795381,ERZ795009,ERZ795010,ERZ781404,ERZ781406,ERZ781405,ERZ782916,ERZ782915,ERZ782927,ERZ782929,ERZ782928,ERZ782923,ERZ782930,ERZ782925,ERZ782926,ERZ782924,ERZ794912,ERZ794919,ERZ794932,ERZ794914,ERZ794915,ERZ794916,ERZ794917,ERZ794918,ERZ794920,ERZ794921,ERZ794930,ERZ794931,ERZ724508,ERZ724502,ERZ724529,ERZ724524,ERZ724514,ERZ724528
OTU11,Fibrobacteres,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
OTU12,Firmicutes,25,1,8,8,6,9,6,8,30,13,22,13,15,36,14,12,48,43,23,10,19,37,43,22,21,20,17,25,8,21,37,25,22,13,5,14,34,23,33,47,5,18,18,9,15,14,31,10,33,34,29,51,33,45,19,16,25,34,49,56,37,15,4,10,32,40,23,40,14,21,4,26,18,13,46,5,44,30,25,48,44,60,4,20,19,4,30,98,29,17,36,52,50,31,46,57,42,45,5,18,19,27,36,20,8,40,10,13,22,31,47,41,46,48,83,81,8,23,37,47,11,34,49,19,15,27,10,21,15,41,63,13,11,30,0,0,0,0,0,0,0,2,1,1,2,3,1,1,0,1,1,0,3,4,0,2,1,4,8,0,0,0,18,0,23,4,1
OTU13,Fusobacteria,1,0,0,0,0,0,1,2,1,1,0,1,2,2,1,2,2,2,2,1,2,1,2,2,1,1,2,2,1,1,1,2,1,2,2,1,2,1,2,3,1,1,2,1,1,1,2,2,1,2,2,1,1,2,1,2,1,1,2,3,2,1,1,1,2,2,2,1,1,2,1,2,1,2,1,1,2,2,2,2,1,4,2,1,2,2,1,5,1,1,4,1,1,2,1,2,3,3,1,1,2,1,2,3,2,2,1,1,1,1,2,2,1,1,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,4,1,2,0,0
OTU14,Gemmatimonadetes,4,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
OTU15,Ignavibacteriae,6,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,2,0,0,0,0,0,0,2,1,0,0,3,1,1,1,2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,0,1,1,0,0,0,3,0,0,2,1,2,0
OTU16,Kiritimatiellaeota,0,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0,4,4,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,3,2,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,2,0,1,0,1,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU17,Nitrospirae,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1,0,0,1,1,1,1,1
OTU18,Planctomycetes,2,0,3,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,8,1,2,0,2,2,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,6,4,7,1,4,6,3,13,3,4,3,11,11,0,8,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,6,1,4,2,2,0,0,15,12,0,4,1,0,5,0
OTU19,Proteobacteria,102,15,27,20,111,82,6,16,34,28,43,13,16,37,25,25,60,34,27,13,30,34,62,25,24,30,39,51,11,28,51,35,21,15,14,29,39,39,24,67,12,42,23,21,22,34,34,12,29,42,24,67,25,52,30,22,17,41,73,23,41,39,17,17,44,44,35,54,9,24,13,44,25,24,49,9,31,34,24,53,61,37,17,24,29,10,22,76,30,34,115,46,41,43,38,77,56,51,10,16,48,35,37,20,8,61,15,16,18,28,53,49,37,53,64,56,9,24,33,19,32,27,29,23,23,36,41,20,32,16,14,31,41,10,21,21,11,15,17,9,7,5,8,4,7,9,10,8,8,24,24,18,22,34,15,33,27,42,42,26,21,26,32,28,47,49,38
OTU20,Spirochaetes,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,10,0,0,0,0,0,10,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,1,6,11,11,0,9,9,0,9,13,9,13,12,16,6,10,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,4,2,0
OTU21,Synergistetes,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,2,0,2,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,3,0,0,0,3,1,0,0,4,3,1,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,1,0,1,1,1,0,0,0,0,0,3,0,0,2,2,2,0,0,1,4,11,0,1,0,0,2,0,0,4,0,1,1,0,0,1,1,0,1,4,1,3,6,3,7,4,2,1,5,2,0,2,2,2,6,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
OTU22,Tenericutes,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,3,0,0,2,2,1,1,0,0,0,0,0,1,1,1,2,0,0,0,1,0,2,1,0,6,0,0,0,4,0,0,1,0,2,2,2,7,0,0,0,3,6,1,2,0,0,0,2,1,0,1,0,0,0,1,0,0,1,0,1,0,1,2,3,2,0,1,1,0,2,7,1,3,0,1,1,3,3,4,1,1,0,0,0,3,0,0,0,3,0,0,2,0,4,2,2,5,13,5,2,1,0,4,1,1,5,5,5,6,2,3,2,0,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU23,Verrucomicrobia,5,0,2,0,8,3,1,1,1,1,2,2,1,2,1,0,1,1,2,4,2,3,2,1,1,1,1,1,2,4,4,2,4,1,0,0,1,1,4,2,1,1,3,1,0,1,1,1,1,2,4,1,1,3,2,2,2,1,6,6,3,1,0,0,1,3,1,3,0,1,0,3,0,2,3,0,1,3,2,1,3,1,0,1,1,0,1,1,2,1,10,1,3,2,2,4,3,4,0,2,1,2,6,0,1,6,0,1,1,3,2,1,1,2,1,5,2,1,2,0,7,0,2,8,8,4,6,9,10,0,7,3,4,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,4,2,2,2,0,1,3,2,4,1
OTU24,Ascomycota,0,0,0,0,0,1,0,0,2,0,0,1,0,2,0,1,3,1,1,2,0,5,2,1,1,0,0,4,1,2,0,0,0,1,0,2,1,2,3,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,6,0,0,1,0,0,0,0,0,0,1,3,1,2,0,2,0,0,2,1,0,0,0,1,0,2,3,0,0,0,0,2,1,0,4,0,0,3,4,0,1,1,0,0,0,0,3,0,0,2,1,0,0,0,0,2,3,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
