kingdom,phylum,ERZ761564
Archaea,Euryarchaeota,6
Archaea,Nanoarchaeota,1
Bacteria,Acidobacteria,5
Bacteria,Actinobacteria,6
Bacteria,Bacteroidetes,37
Bacteria,Caldiserica,1
Bacteria,Calditrichaeota,3
Bacteria,Chloroflexi,6
Bacteria,Elusimicrobia,2
Bacteria,Fibrobacteres,4
Bacteria,Firmicutes,11
Bacteria,Kiritimatiellaeota,1
Bacteria,Planctomycetes,6
Bacteria,Proteobacteria,35
Bacteria,Spirochaetes,12
Bacteria,Tenericutes,5
Bacteria,Thermotogae,3
Bacteria,Verrucomicrobia,5
Eukaryota,Cryptomycota,2
