sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material
ERS1110331,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923197,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110333,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923199,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110335,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923201,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110350,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923216,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110352,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923218,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110354,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923220,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110330,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923196,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110332,Unprocessed DNA and RNA sequences from wastewater treatment plant communities,SAMEA3923198,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110351,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923217,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110355,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923221,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110357,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923223,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110358,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923224,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110329,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923195,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110338,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923204,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110339,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923205,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110341,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923207,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110359,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923225,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110340,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923206,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110342,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923208,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110343,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923209,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110344,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923210,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110345,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923211,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110347,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923213,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110346,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923212,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110348,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923214,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110349,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923215,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110363,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923229,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110364,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923230,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110334,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923200,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110336,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923202,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110353,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923219,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110360,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923226,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110361,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923227,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110362,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923228,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
ERS1110337,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923203,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge
