Kingdom,Phylum,Class,Order,Family,Genus,Species,ERR1713331,ERR1713332,ERR1725942,ERR1713334,ERR1713335,ERR1713336,ERR1713337,ERR1725952,ERR1713339,ERR1725958,ERR1713341,ERR1713342,ERR1713343,ERR1713344,ERR1713345,ERR1713346,ERR1713347,ERR1713348,ERR1713349,ERR1713350,ERR1713351,ERR1713352,ERR1713353,ERR1725971,ERR1713355,ERR1725973,ERR1713357,ERR1713358,ERR1713359,ERR1713360,ERR1713361,ERR1725978,ERR1713363,ERR1713364,ERR1725982,ERR1713366,ERR1713367,ERR1713368,ERR1713369,ERR1713370,ERR1713371,ERR1713372,ERR1713373,ERR1725988,ERR1725990,ERR1725993,ERR1725995,ERR1725996,ERR1713379,ERR1725999,ERR1713381,ERR1713382,ERR1713383,ERR1713384,ERR1713385,ERR1713386,ERR1713387,ERR1726002,ERR1726003,ERR1713390,ERR1713391,ERR1713392,ERR1713393,ERR1713394,ERR1713395,ERR1713396,ERR1713397,ERR1713398,ERR1713399,ERR1713400,ERR1726017,ERR1726019,ERR1726020,ERR1726024,ERR1713405,ERR1713406,ERR1713407,ERR1713408,ERR1713409,ERR1726031,ERR1713411
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,bourgensis,0,0,0,0,0,0,2,0,0,0,5,0,1,6,5,5,1,0,0,0,0,0,1,0,4,0,0,18,0,0,13,0,0,0,0,0,1,0,4,10,0,0,1,0,0,0,0,1,11,0,9,0,6,3,1,4,0,0,1,238,0,0,0,7,0,0,0,12,1,0,0,0,0,0,13,0,0,0,0,0,1
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanofollis,formosanusliminatans,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoplanus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,,0,0,5,1,0,0,6,0,0,0,2,17,0,9,7,0,0,1,6,0,0,0,0,0,2,0,0,3,0,0,1,3,0,0,0,1,1,0,3,19,0,2,0,0,0,0,0,5,4,0,7,0,5,0,1,7,2,0,1,1,0,0,0,1,0,0,1,2,2,1,0,0,5,0,0,0,0,1,1,2,0
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,,6,0,1,0,0,2,29,0,1,3,1,2,1,33,19,59,2,1,2,2,3,0,14,1,9,0,0,13,4,1,2,3,0,3,0,0,2,1,28,137,3,2,5,1,2,0,0,19,3,0,40,0,15,14,4,31,10,1,3,3,2,3,0,3,0,1,5,0,3,7,1,0,17,0,39,1,0,3,3,4,6
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,,7,0,91,1,0,1,53,0,5,41,14,191,0,154,162,313,11,13,21,9,2,1,74,6,41,1,2,810,97,14,10,5,1,10,0,0,5,12,112,324,5,7,21,5,14,2,0,165,7,0,164,3,92,93,9,217,74,0,16,30,4,20,0,2,1,1,28,11,12,45,7,16,92,9,23,20,3,3,3,16,2
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,7,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,mazei,0,0,2,0,0,0,0,0,0,0,2,0,0,5,2,0,2,0,0,0,1,0,0,0,2,0,0,58,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,0,0,0,0,3,0,0,40,0,2,2,0,4,0,0,0,0,0,2,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,Thermoplasmata,E2,Methanomassiliicoccaceae,Methanomassiliicoccus,,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Telmatobacter,bradus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,,0,0,0,0,0,0,24,0,0,0,0,2,0,24,0,0,0,0,1,0,0,0,5,3,0,0,0,0,1,0,1,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,29,0,0,0,1,5
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
