kingdom,phylum,ERZ795026
Archaea,Euryarchaeota,9
Bacteria,Acidobacteria,10
Bacteria,Actinobacteria,4
Bacteria,Bacteroidetes,49
Bacteria,Caldiserica,2
Bacteria,Chlamydiae,1
Bacteria,Chloroflexi,4
Bacteria,Cyanobacteria,1
Bacteria,Elusimicrobia,2
Bacteria,Fibrobacteres,1
Bacteria,Firmicutes,30
Bacteria,Fusobacteria,2
Bacteria,Ignavibacteriae,1
Bacteria,Kiritimatiellaeota,4
Bacteria,Lentisphaerae,3
Bacteria,Planctomycetes,4
Bacteria,Proteobacteria,37
Bacteria,Spirochaetes,9
Bacteria,Synergistetes,2
Bacteria,Tenericutes,1
Bacteria,Verrucomicrobia,7
Eukaryota,Nematoda,2
