Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Family_Genus,ERZ794912,ERZ794919,ERZ794932,ERZ794914,ERZ794915,ERZ794916,ERZ794917,ERZ794918,ERZ794920,ERZ794921,ERZ794930,ERZ794931
Bacteria,,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Taibaiella,Chit_Taibaiella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bacteria,,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas,Chit_Terrimonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Bacteria,,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Mariniradius,Cycl_Mariniradius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bacteria,,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,Cyto_Dyadobacter,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Lacihabitans,Cyto_Lacihabitans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Bacteria,,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Leadbetterella,Cyto_Leadbetterella,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Persicitalea,Cyto_Persicitalea,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Bacteroidetes,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Croc_Fluviicola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Bacteria,,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Flav_Chryseobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bacteria,,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cloacibacterium,Flav_Cloacibacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bacteria,,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flav_Flavobacterium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
Bacteria,,Bacteroidetes,Saprospiria,Saprospirales,Haliscomenobacteraceae,Haliscomenobacter,Hali_Haliscomenobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Bacteroidetes,Saprospiria,Saprospirales,Haliscomenobacteraceae,Phaeodactylibacter,Hali_Phaeodactylibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bacteria,,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,Anae_Anaerolinea,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Bellilinea,Anae_Bellilinea,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Flexilinea,Anae_Flexilinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
