assembly_run_ids,study_id
ERR1713356,MGYS00001312
ERR1713357,MGYS00001312
ERR1713358,MGYS00001312
ERR1713359,MGYS00001312
ERR1725977,MGYS00001312
ERR1713361,MGYS00001312
ERR1713362,MGYS00001312
ERR1725979,MGYS00001312
ERR1713364,MGYS00001312
ERR1713365,MGYS00001312
ERR1725984,MGYS00001312
ERR1713367,MGYS00001312
ERR1713368,MGYS00001312
ERR1725985,MGYS00001312
ERR1713370,MGYS00001312
ERR1713371,MGYS00001312
ERR1713372,MGYS00001312
ERR1713373,MGYS00001312
ERR1725988,MGYS00001312
ERR1725991,MGYS00001312
ERR1713376,MGYS00001312
ERR1725995,MGYS00001312
ERR1713378,MGYS00001312
ERR1725998,MGYS00001312
ERR1713380,MGYS00001312
ERR1713381,MGYS00001312
ERR1713382,MGYS00001312
ERR1713383,MGYS00001312
ERR1713384,MGYS00001312
ERR1713385,MGYS00001312
ERR1713386,MGYS00001312
ERR1726001,MGYS00001312
ERR1713388,MGYS00001312
ERR1713389,MGYS00001312
ERR1726004,MGYS00001312
ERR1713391,MGYS00001312
ERR1726006,MGYS00001312
ERR1726007,MGYS00001312
ERR1713394,MGYS00001312
ERR1713395,MGYS00001312
ERR1713396,MGYS00001312
ERR1713397,MGYS00001312
ERR1713398,MGYS00001312
ERR1726013,MGYS00001312
ERR1713400,MGYS00001312
ERR1726017,MGYS00001312
ERR1713402,MGYS00001312
ERR1713403,MGYS00001312
ERR1726026,MGYS00001312
ERR1713405,MGYS00001312
ERR1713406,MGYS00001312
ERR1713407,MGYS00001312
ERR1713408,MGYS00001312
ERR1713409,MGYS00001312
ERR1713410,MGYS00001312
ERR1726032,MGYS00001312
ERR2808645,MGYS00005055
ERR2808646,MGYS00005055
ERR2808647,MGYS00005055
ERR2808648,MGYS00005055
ERR2808649,MGYS00005055
ERR2808650,MGYS00005055
ERR2808651,MGYS00005055
ERR2808652,MGYS00005055
ERR2808653,MGYS00005055
ERR2808654,MGYS00005055
ERR2808655,MGYS00005055
ERR2808656,MGYS00005055
ERR2808657,MGYS00005055
ERR2808658,MGYS00005055
ERR2808659,MGYS00005055
ERR2808660,MGYS00005055
ERR2808661,MGYS00005055
ERR2808662,MGYS00005055
ERR2808663,MGYS00005055
ERR2808664,MGYS00005055
ERR2808665,MGYS00005055
ERR2808666,MGYS00005055
ERR2808667,MGYS00005055
ERR2808668,MGYS00005055
ERR2814645,MGYS00005056
ERR2814646,MGYS00005056
ERR2814647,MGYS00005056
ERR2814648,MGYS00005056
ERR2814649,MGYS00005056
ERR2814650,MGYS00005056
ERR2814651,MGYS00005056
ERR2814652,MGYS00005056
ERR2814653,MGYS00005056
ERR2814654,MGYS00005056
ERR2814655,MGYS00005056
ERR2814656,MGYS00005056
ERR2814657,MGYS00005056
ERR2814658,MGYS00005056
ERR2814659,MGYS00005056
ERR2814660,MGYS00005056
ERR2814661,MGYS00005056
ERR2814662,MGYS00005056
ERR2814663,MGYS00005056
ERR2814664,MGYS00005056
ERR2814665,MGYS00005056
ERR2814666,MGYS00005056
ERR2814667,MGYS00005056
ERR2814668,MGYS00005056
ERR2985255,MGYS00005058
ERR2985256,MGYS00005058
ERR2985257,MGYS00005058
ERR2985258,MGYS00005058
ERR2985259,MGYS00005058
ERR2985260,MGYS00005058
ERR2985261,MGYS00005058
ERR2985262,MGYS00005058
ERR2985263,MGYS00005058
ERR2985264,MGYS00005058
ERR2985265,MGYS00005058
ERR2985266,MGYS00005058
ERR2985267,MGYS00005058
ERR2985268,MGYS00005058
ERR2985269,MGYS00005058
ERR2985270,MGYS00005058
ERR2985271,MGYS00005058
ERR2985272,MGYS00005058
ERR2985273,MGYS00005058
ERR2985274,MGYS00005058
ERR2985275,MGYS00005058
ERR2985276,MGYS00005058
ERR2985277,MGYS00005058
ERR2985278,MGYS00005058
ERR770579,MGYS00001382
ERR770580,MGYS00001382
ERR770581,MGYS00001382
ERR770582,MGYS00001382
ERR770583,MGYS00001382
ERR770584,MGYS00001382
ERR276848,MGYS00001389
ERR1076078,MGYS00001391
ERR977407,MGYS00001392
ERR977409,MGYS00001392
ERR977410,MGYS00001392
ERR977423,MGYS00001392
ERR977424,MGYS00001392
ERR977425,MGYS00001392
ERR977403,MGYS00001392
ERR977404,MGYS00001392
ERR977405,MGYS00001392
ERR977406,MGYS00001392
ERR977411,MGYS00001392
ERR977415,MGYS00001392
ERR977417,MGYS00001392
ERR977421,MGYS00001392
ERR1823510,MGYS00001453
ERR1823511,MGYS00001453
ERR1823512,MGYS00001453
ERR1857181,MGYS00001566
ERR1857182,MGYS00001566
ERR1857183,MGYS00001566
ERR1857184,MGYS00001566
ERR1857185,MGYS00001566
ERR1857186,MGYS00001566
ERR1857187,MGYS00001566
ERR1857188,MGYS00001566
ERR1857189,MGYS00001566
ERR1857190,MGYS00001566
ERR1857191,MGYS00001566
ERR1857192,MGYS00001566
ERR1857193,MGYS00001566
ERR1857194,MGYS00001566
ERR1857195,MGYS00001566
ERR1857196,MGYS00001566
ERR1857197,MGYS00001566
ERR1857198,MGYS00001566
ERR1857199,MGYS00001566
ERR1857200,MGYS00001566
ERR1857201,MGYS00001566
ERR1857202,MGYS00001566
ERR1857203,MGYS00001566
ERR1857204,MGYS00001566
ERR1857205,MGYS00001566
ERR1857206,MGYS00001566
ERR1857207,MGYS00001566
ERR1857208,MGYS00001566
ERR1857209,MGYS00001566
ERR1857210,MGYS00001566
ERR1857211,MGYS00001566
ERR1857212,MGYS00001566
ERR1857213,MGYS00001566
ERR1857214,MGYS00001566
ERR1857215,MGYS00001566
ERR1857216,MGYS00001566
ERR2041951,MGYS00001903
ERR1101751,MGYS00000555
ERR1233629,MGYS00000606
ERR1341804,MGYS00000648
ERR1341803,MGYS00000648
ERR1352952,MGYS00000777
ERR1352953,MGYS00000777
ERR1352956,MGYS00000777
ERR1352957,MGYS00000777
ERR1352959,MGYS00000777
ERR1352962,MGYS00000777
ERR1352903,MGYS00000777
ERR1352906,MGYS00000777
ERR1352908,MGYS00000777
ERR1352909,MGYS00000777
ERR1352932,MGYS00000777
ERR1352934,MGYS00000777
ERR1352935,MGYS00000777
ERR1352937,MGYS00000777
ERR1352940,MGYS00000777
ERR1352942,MGYS00000777
ERR1352943,MGYS00000777
ERR1352946,MGYS00000777
ERR1352912,MGYS00000777
ERR1352913,MGYS00000777
ERR1352928,MGYS00000777
ERR1352929,MGYS00000777
ERR1352947,MGYS00000777
ERR1352950,MGYS00000777
ERR1352916,MGYS00000777
ERR1352918,MGYS00000777
ERR1352920,MGYS00000777
ERR1352921,MGYS00000777
ERR1352924,MGYS00000777
ERR1352925,MGYS00000777
ERR1414267,MGYS00001110
ERR1414271,MGYS00001110
ERR1414265,MGYS00001110
ERR1414209,MGYS00001110
ERR1414210,MGYS00001110
ERR1414211,MGYS00001110
ERR1414212,MGYS00001110
ERR1414213,MGYS00001110
ERR1414214,MGYS00001110
ERR1414215,MGYS00001110
ERR1414216,MGYS00001110
ERR1414217,MGYS00001110
ERR1414218,MGYS00001110
ERR1414219,MGYS00001110
ERR1414220,MGYS00001110
ERR1414221,MGYS00001110
ERR1414222,MGYS00001110
ERR1414223,MGYS00001110
ERR1414224,MGYS00001110
ERR1414225,MGYS00001110
ERR1414226,MGYS00001110
ERR1414227,MGYS00001110
ERR1414228,MGYS00001110
ERR1414229,MGYS00001110
ERR1414230,MGYS00001110
ERR1414231,MGYS00001110
ERR1414232,MGYS00001110
ERR1414233,MGYS00001110
ERR1414234,MGYS00001110
ERR1414235,MGYS00001110
ERR1414236,MGYS00001110
ERR1414237,MGYS00001110
ERR1414238,MGYS00001110
ERR1414239,MGYS00001110
ERR1414240,MGYS00001110
ERR1414241,MGYS00001110
ERR1414242,MGYS00001110
ERR1414243,MGYS00001110
ERR1414244,MGYS00001110
ERR1414245,MGYS00001110
ERR1414246,MGYS00001110
ERR1414247,MGYS00001110
ERR1414248,MGYS00001110
ERR1414249,MGYS00001110
ERR1414250,MGYS00001110
ERR1414251,MGYS00001110
ERR1414252,MGYS00001110
ERR1414253,MGYS00001110
ERR1414254,MGYS00001110
ERR1414255,MGYS00001110
ERR1414256,MGYS00001110
ERR1414257,MGYS00001110
ERR1414258,MGYS00001110
ERR1414259,MGYS00001110
ERR1414260,MGYS00001110
ERR1414261,MGYS00001110
ERR1414262,MGYS00001110
ERR1414263,MGYS00001110
ERR1414264,MGYS00001110
ERR1414266,MGYS00001110
ERR1414268,MGYS00001110
ERR1414269,MGYS00001110
ERR1414270,MGYS00001110
ERR1414272,MGYS00001110
ERR1414273,MGYS00001110
ERR1414274,MGYS00001110
ERR1414275,MGYS00001110
ERR1414276,MGYS00001110
ERR1414277,MGYS00001110
ERR1414278,MGYS00001110
ERR1467143,MGYS00001135
ERR1467146,MGYS00001135
ERR1467154,MGYS00001135
ERR1470829,MGYS00001135
ERR1512985,MGYS00001135
ERR1512995,MGYS00001135
ERR1513004,MGYS00001135
ERR1513005,MGYS00001135
ERR1513006,MGYS00001135
ERR1525434,MGYS00001135
ERR1525436,MGYS00001135
ERR1525439,MGYS00001135
ERR1525446,MGYS00001135
ERR1467152,MGYS00001135
ERR1470825,MGYS00001135
ERR1470827,MGYS00001135
ERR1470830,MGYS00001135
ERR1512988,MGYS00001135
ERR1512993,MGYS00001135
ERR1514429,MGYS00001135
ERR1525437,MGYS00001135
ERR1525438,MGYS00001135
ERR1525440,MGYS00001135
ERR1525444,MGYS00001135
ERR1512987,MGYS00001135
ERR1512998,MGYS00001135
ERR1467142,MGYS00001135
ERR1467148,MGYS00001135
ERR1467149,MGYS00001135
ERR1512984,MGYS00001135
ERR1514428,MGYS00001135
ERR1525443,MGYS00001135
ERR1467150,MGYS00001135
ERR1470824,MGYS00001135
ERR1514430,MGYS00001135
ERR1525445,MGYS00001135
ERR1512997,MGYS00001135
ERR1514427,MGYS00001135
ERR1467144,MGYS00001135
ERR1467145,MGYS00001135
ERR1467151,MGYS00001135
ERR1470822,MGYS00001135
ERR1470828,MGYS00001135
ERR1513003,MGYS00001135
ERR1512986,MGYS00001135
ERR1512994,MGYS00001135
ERR1513007,MGYS00001135
ERR1525441,MGYS00001135
ERR1525442,MGYS00001135
ERR1467147,MGYS00001135
ERR1467153,MGYS00001135
ERR1470826,MGYS00001135
ERR1470823,MGYS00001135
ERR1467141,MGYS00001135
ERR1512996,MGYS00001135
ERR1513002,MGYS00001135
ERR1512989,MGYS00001135
ERR1512990,MGYS00001135
ERR1512991,MGYS00001135
ERR1512992,MGYS00001135
ERR1512999,MGYS00001135
ERR1513000,MGYS00001135
ERR1513001,MGYS00001135
ERR1525435,MGYS00001135
